Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,SPY,SPY,SPY,SPY,SPY
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2018-01-02,20.799999237060547,21.474000930786133,20.733333587646484,21.368667602539062,65283000,39.986353061174896,40.489237224924096,39.774857509538,40.479835510253906,102223600,239.16338304697123,240.0295299132906,238.77048999935153,239.99380493164062,86655700
2018-01-03,21.399999618530273,21.683332443237305,21.036666870117188,21.149999618530273,67822500,40.543284466801936,41.01797065715718,40.4093405114548,40.47278594970703,118071600,240.16341082611956,241.66355996800993,240.16341082611956,241.51174926757812,90070400
2018-01-04,20.857999801635742,21.23666763305664,20.3786678314209,20.974666595458984,149194500,40.545637963798164,40.764183034424285,40.4375433322358,40.66078567504883,89738400,242.16361479017547,243.0208234570834,241.57427531599748,242.52969360351562,80636400
2018-01-05,21.107999801635742,21.14933204650879,20.799999237060547,21.10533332824707,68868000,40.75712648052057,41.21066058157012,40.66547948889534,41.123714447021484,94640000,243.33342298416167,244.27099266820525,242.83338218598112,244.14599609375,83524000
2018-01-08,21.066667556762695,22.468000411987305,21.03333282470703,22.42733383178711,147891000,40.97097396850586,41.26706344560852,40.87227389043468,40.97097396850586,82271200,244.04773395770087,244.75315928761063,243.75307779467255,244.59243774414062,57319200
2018-01-09,22.3439998626709,22.586666107177734,21.82666778564453,22.246000289916992,107199000,41.01797293783852,41.137817913571006,40.750081426545414,40.96627426147461,86336000,245.02095705972178,245.77995601607225,244.73521178789144,245.14598083496094,57254000
2018-01-10,22.14666748046875,22.46666717529297,22.0,22.31999969482422,64648500,40.69133175288106,40.9592232542741,40.65373206496888,40.956871032714844,95839600,244.3780725936923,245.0388620188655,243.6994615559139,244.77096557617188,69574300
2018-01-11,22.349332809448242,22.987333297729492,22.21733283996582,22.530000686645508,99682500,41.02736864709842,41.23886419766653,41.003871531948754,41.18951416015625,74670800,245.33360014478498,246.55691528320312,245.16394051608074,246.55691528320312,62361500
2018-01-12,22.575332641601562,22.694000244140625,22.244667053222656,22.4146671295166,72376500,41.401012500667235,41.67830575348247,41.27646665551336,41.6148567199707,101672400,246.82481416443525,248.33384746802795,246.52119264162562,248.16421508789062,90816100
2018-01-16,22.502666473388672,23.0,22.31999969482422,22.67066764831543,97114500,41.80519391095226,42.15533427468017,41.39160810901401,41.403358459472656,118263600,249.4410435765684,250.10180581843701,246.61043165500365,247.31585693359375,106555100
2018-01-17,22.697999954223633,23.266666412353516,22.649999618530273,23.143999099731445,106552500,41.39395372230317,42.12243236910456,41.140164816586015,42.08718490600586,137547200,248.26236395202412,250.066080277216,247.31585637789448,249.67318725585938,113258800
2018-01-18,23.044666290283203,23.48666763305664,22.916000366210938,22.971332550048828,85287000,42.15063189805174,42.322179120016855,41.8874412686416,42.12478256225586,124773600,249.5571342440219,249.98572500388207,248.7534720689332,249.2535400390625,100728000
2018-01-19,23.0,23.37266731262207,22.84000015258789,23.334667205810547,73324500,41.97204174790951,42.19998492909617,41.69005125556937,41.93679428100586,129700400,249.84293034969855,250.38763427734375,249.25361787087243,250.38763427734375,140920100
2018-01-22,23.293333053588867,23.85533332824707,23.280000686645508,23.437332153320312,93156000,41.66421038686826,41.77700588959111,41.4997161983757,41.593711853027344,108434400,250.17329363691175,252.42347717285156,250.11969253469928,252.42347717285156,91322400
2018-01-23,24.0,24.03333282470703,23.399999618530273,23.519332885742188,81981000,41.664204031032014,42.16708823668298,41.55140854551602,41.60310363769531,130756400,252.46802242060775,253.25380830218742,252.13764136816386,252.9591522216797,97084700
2018-01-24,23.6386661529541,23.649999618530273,22.90133285522461,23.05933380126953,79312500,41.65244954054597,41.664199890843385,40.70072853771156,40.94042205810547,204420400,253.6110382658463,254.21825393651667,251.6644491971093,252.86097717285156,134816100
2018-01-25,23.218000411987305,23.280000686645508,22.426666259765625,22.50933265686035,101104500,41.00856834682296,41.11196569229976,40.07329855167976,40.2095947265625,166116000,253.73600037618252,253.83420998642245,252.1644286109888,252.9680633544922,84587300
2018-01-26,22.766666412353516,22.933332443237305,22.380666732788086,22.856666564941406,68091000,40.41874038429801,40.41874038429801,39.962854017878804,40.303592681884766,156572000,253.81647902973307,255.94166622209556,253.5575205503642,255.89700317382812,107743100
2018-01-29,22.656667709350586,23.389999389648438,22.552000045776367,23.302000045776367,71206500,39.98635883505293,39.98635883505293,39.260232250034484,39.46937561035156,202561600,255.31659160482482,255.76305856902036,254.03970262726895,254.20042419433594,90118300
2018-01-30,23.00933265686035,23.218000411987305,22.81133270263672,23.05466651916504,70765500,38.89834241190866,39.33072813120874,38.70329803527017,39.236732482910156,184192800,252.3431245574012,254.25398892548796,251.110871420415,251.5930633544922,131796400
2018-01-31,23.167333602905273,23.746000289916992,23.012666702270508,23.62066650390625,93211500,39.21322660539064,39.58216682698936,39.12628046289826,39.34482192993164,129915600,252.4592137586434,252.96816537634805,250.62868289612197,251.7180633544922,108364800
2018-02-01,23.399999618530273,23.977333068847656,23.242000579833984,23.28333282470703,62965500,39.28371734123033,39.62445593598001,39.187369502816786,39.42706298828125,188923200,250.97691902813582,252.7538486360801,250.62866175311547,251.4322967529297,90102500
2018-02-02,23.229333877563477,23.463333129882812,22.700666427612305,22.916667938232422,55572000,39.008779603001486,39.19677443871081,37.62232441283876,37.7163200378418,346375200,250.09287863435122,250.22684050016503,245.92289318316708,245.9586181640625,173174800
2018-02-05,22.531333923339844,22.96466636657715,22.200000762939453,22.208667755126953,66961500,37.38734080820621,38.51060565150299,36.65886198826042,36.774009704589844,290954000,244.17274377337543,246.3157793140002,235.11838250775344,235.6719970703125,294681800
2018-02-06,21.680667877197266,22.4146671295166,21.566667556762695,22.264667510986328,76326000,36.383909384506495,38.47299372472518,36.18886507104701,38.310848236083984,272975200,232.10916911353297,240.8242100305224,231.00194013643642,240.3152313232422,355026800
2018-02-07,22.599332809448242,23.066667556762695,22.37733268737793,23.0,104538000,38.32495890960423,38.397806073513465,37.38029082924668,37.4907341003418,206434400,239.75271972638046,243.19943103416853,238.93120865940054,239.0115966796875,167376100
